18:42, Sunday, February 15, 2026
Study name:Static 2
Units: mm
Selected reference : N/A
Node  ,X (mm)  ,Y (mm)  ,Z (mm)  ,URES (mm)
19795  ,100.224  ,45.8081  ,-98.354  ,3.91800e-01
26366  ,98.718  ,49.436  ,-97.7475  ,3.91768e-01
53955  ,101.354  ,42.9016  ,-98.3669  ,3.91764e-01
57354  ,100.748  ,44.3124  ,-99.0566  ,3.91756e-01
37701  ,99.4666  ,47.399  ,-99.2881  ,3.91744e-01
27320  ,101.366  ,42.5588  ,-99.6319  ,3.91744e-01
50283  ,100.082  ,45.8906  ,-99.3455  ,3.91720e-01
52534  ,102.315  ,40.293  ,-98.0622  ,3.91710e-01
55264  ,101.559  ,42.3822  ,-97.996  ,3.91682e-01
15377  ,101.632  ,41.9444  ,-98.9541  ,3.91667e-01
4684  ,99.743  ,46.9889  ,-97.8372  ,3.91654e-01
27600  ,102.589  ,39.1376  ,-99.0556  ,3.91576e-01
27003  ,98.9131  ,48.783  ,-98.2476  ,3.91567e-01
45996  ,101.629  ,41.9666  ,-98.5284  ,3.91548e-01
4688  ,101.396  ,42.7063  ,-97.9818  ,3.91522e-01
45994  ,101.734  ,41.7106  ,-98.3141  ,3.91517e-01
27002  ,99.0933  ,48.4315  ,-97.7803  ,3.91508e-01
5635  ,98.528  ,49.5115  ,-98.6848  ,3.91486e-01
46201  ,101.07  ,43.542  ,-97.9532  ,3.91478e-01
38313  ,98.4264  ,49.5185  ,-99.7296  ,3.91456e-01
2360  ,99.4554  ,47.1209  ,-99.8196  ,3.91430e-01
52539  ,101.851  ,40.9852  ,-99.6721  ,3.91425e-01
18993  ,98.7649  ,48.832  ,-99.2384  ,3.91414e-01
15378  ,101.693  ,41.488  ,-99.3033  ,3.91389e-01
2242  ,102.476  ,39.0376  ,-100.084  ,3.91370e-01
52547  ,102.063  ,40.3268  ,-99.6529  ,3.91344e-01
54794  ,101.608  ,41.5039  ,-100.008  ,3.91322e-01
46203  ,100.945  ,43.6463  ,-98.3836  ,3.91306e-01
54795  ,101.449  ,42.0067  ,-99.6391  ,3.91296e-01
27300  ,101.308  ,42.524  ,-99.0118  ,3.91278e-01
27605  ,102.095  ,40.0556  ,-100.051  ,3.91239e-01
21697  ,98.8021  ,48.5309  ,-99.7625  ,3.91222e-01
46202  ,100.818  ,43.9943  ,-97.9312  ,3.91181e-01
57771  ,101.305  ,42.5462  ,-98.5861  ,3.91159e-01
57361  ,100.578  ,44.5956  ,-97.9102  ,3.91156e-01
57358  ,100.839  ,43.6994  ,-98.9011  ,3.91155e-01
50274  ,100.514  ,44.2852  ,-99.9123  ,3.91118e-01
51546  ,101.788  ,41.3288  ,-98.0161  ,3.91111e-01
61807  ,100.938  ,43.2967  ,-99.3867  ,3.91106e-01
33766  ,102.231  ,39.928  ,-98.5386  ,3.91095e-01
59958  ,102.577  ,38.9039  ,-98.5708  ,3.91093e-01
46160  ,101.51  ,42.0268  ,-98.2152  ,3.91088e-01
10555  ,99.0387  ,48.0977  ,-98.7299  ,3.91062e-01
46157  ,101.615  ,41.7708  ,-98.0009  ,3.91058e-01
50120  ,100.297  ,44.7992  ,-99.8932  ,3.91055e-01
56339  ,100.672  ,43.8229  ,-99.9261  ,3.91043e-01
57357  ,100.712  ,44.0473  ,-98.4487  ,3.91031e-01
10554  ,99.219  ,47.7462  ,-98.2627  ,3.91017e-01
51596  ,99.8248  ,46.2789  ,-98.2911  ,3.90994e-01
15376  ,101.602  ,41.5934  ,-98.5726  ,3.90958e-01
55266  ,101.347  ,42.3509  ,-98.201  ,3.90923e-01
16527  ,99.6833  ,46.3615  ,-99.2825  ,3.90915e-01
26369  ,98.3587  ,49.6539  ,-98.193  ,3.90914e-01
57064  ,102.076  ,40.0727  ,-99.1339  ,3.90904e-01
50119  ,100.082  ,45.237  ,-99.8744  ,3.90894e-01
56343  ,100.725  ,43.6882  ,-99.4537  ,3.90893e-01
37700  ,99.0759  ,47.7965  ,-99.254  ,3.90884e-01
59630  ,100.335  ,45.0228  ,-97.889  ,3.90872e-01
