18:34, Sunday, February 15, 2026
Study name:Static 1
Units: N/m^2
Selected reference : N/A
Node  ,X (mm)  ,Y (mm)  ,Z (mm)  ,VON (N/m^2)
5981  ,96.7813  ,42.2872  ,-72.542  ,1.35477e+08
56005  ,97.7093  ,42.1898  ,-63.2022  ,1.35476e+08
56038  ,97.5841  ,42.2872  ,-63.1437  ,1.35466e+08
52370  ,97.8328  ,42.0925  ,-63.2642  ,1.35427e+08
881  ,96.7931  ,40.2872  ,-72.5389  ,1.35415e+08
22810  ,95.9357  ,41.1911  ,-72.6849  ,1.35414e+08
25692  ,98.0151  ,41.3847  ,-63.3638  ,1.35404e+08
54373  ,96.2112  ,40.3847  ,-72.6546  ,1.35382e+08
31863  ,97.0125  ,40.3847  ,-62.9268  ,1.35375e+08
87932  ,96.3389  ,42.2872  ,-72.6353  ,1.35338e+08
60264  ,96.0166  ,40.6299  ,-72.6776  ,1.35331e+08
52369  ,97.8849  ,41.94  ,-63.2916  ,1.35311e+08
1133  ,97.1562  ,42.2872  ,-62.9739  ,1.35294e+08
23402  ,96.8626  ,41.9421  ,-62.8828  ,1.35278e+08
25569  ,96.0154  ,41.9392  ,-72.6777  ,1.35243e+08
88359  ,97.7918  ,42.1898  ,-63.2431  ,1.35214e+08
60263  ,96.0709  ,40.4796  ,-72.672  ,1.35214e+08
16452  ,97.1091  ,40.6329  ,-72.445  ,1.35210e+08
25110  ,97.2289  ,41.2872  ,-72.4034  ,1.35208e+08
811  ,97.1427  ,40.2872  ,-62.9693  ,1.35190e+08
7283  ,96.8327  ,41.7917  ,-62.8746  ,1.35169e+08
1091  ,96.8249  ,40.7907  ,-62.8725  ,1.35165e+08
76259  ,98.0151  ,41.1897  ,-63.3638  ,1.35136e+08
814  ,97.6506  ,40.2872  ,-63.1742  ,1.35110e+08
21112  ,96.0669  ,42.0934  ,-72.6724  ,1.35099e+08
1059  ,97.1618  ,40.7837  ,-72.4271  ,1.35091e+08
67985  ,97.0249  ,42.1898  ,-62.9307  ,1.35091e+08
83116  ,96.7647  ,40.9414  ,-62.8568  ,1.35053e+08
884  ,96.2564  ,40.2872  ,-72.6482  ,1.35047e+08
7251  ,97.1727  ,41.7822  ,-72.4233  ,1.35028e+08
67792  ,97.1954  ,40.9379  ,-72.4154  ,1.35018e+08
1136  ,97.6677  ,42.2872  ,-63.1823  ,1.34977e+08
5984  ,96.2495  ,42.2872  ,-72.6492  ,1.34975e+08
37613  ,97.2008  ,41.6322  ,-72.4135  ,1.34968e+08
88547  ,96.8686  ,42.2872  ,-72.5185  ,1.34959e+08
1034  ,97.2289  ,41.0922  ,-72.4034  ,1.34939e+08
72783  ,96.7488  ,41.1897  ,-62.8527  ,1.34923e+08
7239  ,97.2289  ,41.4822  ,-72.4034  ,1.34917e+08
7229  ,97.042  ,42.0918  ,-72.4669  ,1.34893e+08
53681  ,96.7488  ,41.3847  ,-62.8527  ,1.34890e+08
83106  ,96.8812  ,40.2872  ,-72.515  ,1.34882e+08
46291  ,97.1075  ,41.937  ,-72.4455  ,1.34881e+08
44973  ,97.7738  ,40.3847  ,-63.2341  ,1.34843e+08
45950  ,96.7687  ,41.6369  ,-62.8578  ,1.34795e+08
1049  ,97.0561  ,40.4822  ,-72.4624  ,1.34777e+08
7148  ,96.8925  ,42.0925  ,-62.8912  ,1.34776e+08
22795  ,95.9204  ,40.8854  ,-72.6861  ,1.34765e+08
80367  ,97.056  ,40.2872  ,-62.9406  ,1.34762e+08
74048  ,96.853  ,40.6364  ,-62.8801  ,1.34762e+08
801  ,95.8933  ,41.2872  ,-72.6881  ,1.34758e+08
67801  ,95.8786  ,41.5314  ,-72.6892  ,1.34747e+08
67982  ,97.0688  ,42.2872  ,-62.9447  ,1.34727e+08
40404  ,95.9194  ,41.6845  ,-72.6862  ,1.34706e+08
21111  ,96.115  ,42.1895  ,-72.667  ,1.34703e+08
53946  ,96.9988  ,42.1895  ,-72.4804  ,1.34696e+08
54372  ,96.1206  ,40.3847  ,-72.6663  ,1.34679e+08
901  ,97.8954  ,40.4822  ,-63.2973  ,1.34665e+08
25690  ,98.0547  ,41.2872  ,-63.3867  ,1.34649e+08
28986  ,96.9368  ,42.1898  ,-62.9039  ,1.34638e+08
