18:18, Sunday, February 15, 2026
Study name:Static 1
Units: mm
Selected reference : N/A
Node  ,X (mm)  ,Y (mm)  ,Z (mm)  ,URES (mm)
1925  ,106.119  ,42.2872  ,-68.1208  ,2.46696e+00
73672  ,106.142  ,42.2872  ,-67.7813  ,2.46681e+00
25536  ,106.617  ,41.3481  ,-66.8984  ,2.46675e+00
82224  ,106.061  ,42.2872  ,-68.623  ,2.46673e+00
7717  ,106.008  ,42.2872  ,-69.22  ,2.46670e+00
2140  ,106.165  ,42.2872  ,-67.4419  ,2.46665e+00
7390  ,105.811  ,42.2872  ,-71.8795  ,2.46664e+00
62578  ,106.514  ,41.2643  ,-68.2644  ,2.46663e+00
25130  ,106.523  ,40.8673  ,-70.1044  ,2.46661e+00
11229  ,106.699  ,41.4892  ,-65.4336  ,2.46652e+00
40547  ,106.398  ,41.858  ,-66.8053  ,2.46648e+00
37274  ,105.905  ,41.7618  ,-73.7227  ,2.46645e+00
74153  ,106.142  ,42.0821  ,-68.3684  ,2.46624e+00
25505  ,106.509  ,41.8882  ,-65.451  ,2.46614e+00
25106  ,106.38  ,41.3213  ,-69.2113  ,2.46612e+00
72924  ,106.087  ,42.0821  ,-68.918  ,2.46612e+00
88075  ,107.021  ,40.8882  ,-64.5281  ,2.46608e+00
81524  ,106.596  ,40.2872  ,-71.771  ,2.46587e+00
25535  ,106.476  ,41.4431  ,-67.404  ,2.46585e+00
81552  ,107.131  ,40.2872  ,-65.6248  ,2.46583e+00
1519  ,106.32  ,42.2872  ,-65.4684  ,2.46579e+00
40550  ,106.833  ,40.7772  ,-66.4942  ,2.46569e+00
5650  ,107.344  ,40.2872  ,-63.6226  ,2.46566e+00
5657  ,106.456  ,40.2872  ,-73.7702  ,2.46564e+00
62576  ,106.368  ,41.5637  ,-67.8674  ,2.46561e+00
13127  ,106.165  ,41.8769  ,-68.616  ,2.46552e+00
54651  ,106.2  ,41.4161  ,-70.4204  ,2.46533e+00
90721  ,105.779  ,42.2872  ,-70.6245  ,2.46457e+00
74151  ,105.953  ,42.2872  ,-68.3599  ,2.46443e+00
54652  ,106.348  ,40.8673  ,-70.7559  ,2.46439e+00
72928  ,105.898  ,42.2872  ,-68.9095  ,2.46430e+00
