16:24, Wednesday, February 18, 2026
Study name:Static 2
Units: mm
Selected reference : N/A
Node  ,X (mm)  ,Y (mm)  ,Z (mm)  ,URES (mm)
5310  ,100.697  ,43.2182  ,-97.9206  ,1.30220e-01
22399  ,100.542  ,47.5983  ,-99.3919  ,1.30219e-01
48506  ,100.522  ,44.184  ,-98.8158  ,1.30215e-01
59105  ,100.491  ,45.3278  ,-98.4612  ,1.30210e-01
30947  ,101.934  ,38.5097  ,-98.0288  ,1.30208e-01
30971  ,102.071  ,37.5967  ,-99.5577  ,1.30201e-01
22594  ,100.504  ,47.161  ,-98.4327  ,1.30196e-01
57575  ,100.629  ,43.0756  ,-98.6944  ,1.30194e-01
47934  ,100.599  ,43.5196  ,-98.346  ,1.30193e-01
65961  ,100.589  ,47.6986  ,-97.9112  ,1.30189e-01
42184  ,100.746  ,42.1691  ,-99.1591  ,1.30187e-01
48618  ,100.845  ,42.0656  ,-98.2117  ,1.30187e-01
40245  ,101.044  ,40.7233  ,-99.9586  ,1.30185e-01
22639  ,100.355  ,45.4284  ,-99.4531  ,1.30177e-01
10009  ,100.501  ,43.821  ,-98.7714  ,1.30167e-01
47468  ,100.602  ,42.5725  ,-99.596  ,1.30166e-01
22597  ,100.374  ,46.6764  ,-98.9106  ,1.30165e-01
22402  ,100.355  ,47.2447  ,-99.4234  ,1.30165e-01
22638  ,100.371  ,45.9061  ,-98.94  ,1.30165e-01
39484  ,100.863  ,41.9826  ,-97.9351  ,1.30165e-01
44700  ,100.501  ,43.05  ,-99.5871  ,1.30144e-01
30221  ,100.928  ,41.3275  ,-99.0368  ,1.30143e-01
55440  ,100.297  ,44.7992  ,-99.8932  ,1.30142e-01
4963  ,100.414  ,46.069  ,-97.8959  ,1.30141e-01
22398  ,100.288  ,47.8478  ,-99.8925  ,1.30133e-01
5918  ,100.394  ,47.8299  ,-98.8561  ,1.30132e-01
19072  ,101.346  ,40.0537  ,-98.5542  ,1.30128e-01
30619  ,101.655  ,39.1036  ,-98.55  ,1.30126e-01
19091  ,100.967  ,41.2288  ,-98.7116  ,1.30123e-01
22592  ,100.363  ,47.0912  ,-97.8914  ,1.30118e-01
44704  ,100.469  ,43.2317  ,-99.1177  ,1.30098e-01
1584  ,100.919  ,41.4811  ,-97.94  ,1.30084e-01
57576  ,100.637  ,42.4983  ,-98.4597  ,1.30081e-01
62054  ,100.281  ,45.0674  ,-98.9194  ,1.30079e-01
2638  ,100.131  ,46.2341  ,-99.8787  ,1.30077e-01
22403  ,100.21  ,47.4792  ,-98.888  ,1.30076e-01
